id_hubspot,nom,CIP,CA 2026,client_naali,potentiel,Propriétaire de l'entreprise,Date de création,Groupement Principal,Chiffre d'affaires total,address,cp,Date de conclusion de la transaction la plus récente,catalogue
70595359977,PHARMACIE DE LA GARE - 2201495 - 77680,2201495,8039.1,Oui,Prioritaires,Emelyne Lahaies,2024-12-31 19:36,ELSIE,21424.91,5 PLACE DE LA REVOLUTION,,2026-03-09 14:43,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Cycle; Digestion; Dream; Fiole Safran 1g; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Ménopause; Sachet Anti Stress; Zen Fraise
69710062822,PHARMACIE DU CARRE SENART - 2258714 - 77127,2258714,7846.8,Oui,Prioritaires,Emelyne Lahaies,2024-12-31 20:24,APOTHICAL,21549.55,CARRE SENART,,2026-04-14 10:00,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Cycle; Digestion; Dream; Fiole Safran 1g; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Ménopause; Zen Fraise; Éclat - Teint et hydratation
70849285363,PHARMACIE NAST - 2039546 - 77500,2039546,5181.5,Oui,Secondaires,Emelyne Lahaies,2025-01-01 10:57,LEADER SANTE,5641.65,19 RUE GUSTAVE NAST,,2026-04-10 14:08,Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Sachet Anti Stress; Zen Fraise; Zen Orange
56610530515,PHARMACIE PRINCIPALE - 2049512 - 94550,2049512,3821.43,Oui,Non Prioritaires,Emelyne Lahaies,2024-12-11 15:57,,20352.27,16 RUE DU POITOU,,2026-04-16 15:28,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Digestion; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Sachet Anti Stress; Zen Fraise
70593533171,PHARMACIE CLOS DU CHENE - 2006702 - 77144,2006702,1744.35,Oui,Prioritaires,Emelyne Lahaies,2024-12-31 19:33,,5599.63,RUE DU CLOS ROSE,,2026-03-25 15:19,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Sachet Anti Stress; Zen Fraise
69710058728,PHARMACIE CITE JARDINS - 2005550 - 94500,2005550,1554.69,Oui,Prioritaires,Emelyne Lahaies,2024-12-31 20:19,,3014.83,72 AVENUE DE LA REPUBLIQUE,,2026-01-05 16:09,Gommes Anti Stress x60; Zen Fraise; Gommes Anti Stress x42; Cheveux - Pousse et Force; Zen Orange
71451049155,GRANDE PHARMACIE DE LIMEIL - 2001310 - 94450,2001310,1520.37,Oui,Secondaires,Emelyne Lahaies,2025-01-01 10:58,APTI'PHAR,5468.69,2 A AVENUE DE VERDUN,,2026-04-07 12:46,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Cycle; Digestion; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Meuble bien être mental; Ménopause; Osmose; Sachet Anti Stress; Zen Fraise
70756567289,PHARMACIE DE LA FORET - 2039436 - 77240,2039436,1430.86,Oui,Secondaires,Emelyne Lahaies,2025-01-01 12:07,COTE PHARMA,3645.97,SQUARE DU BOIS DE SAINT LEU,,2026-04-17 14:44,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Sachet Anti Stress; Zen Fraise
71412499661,PHARMACIE SOUSSY - 2235126 - 94500,2235126,1370.68,Oui,Secondaires,Emelyne Lahaies,2025-01-01 10:58,COS,1370.68,47 AVENUE ROGER SALENGRO,,2026-02-20 14:25,Cheveux - Pousse et Force; Digestion; Dream; Fiole Safran 1g; Gommes Anti Stress x60; Magnésium +; Sachet Anti Stress
56812188864,PHARMACIE DU MARCHE - 2049423 - 94000,2049423,1259.73,Oui,Non Prioritaires,Emelyne Lahaies,2024-12-11 15:57,PHARMACTIV,7482.09,2 RUE EDOUARD MANET,,2026-04-03 09:47,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Cycle; Digestion; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Ménopause; Osmose; Zen Fraise; Zen Orange; Éclat - Teint et hydratation
70595498226,PHARMACIE DU CENTRE - 2256319 - 77330,2256319,1176.97,Oui,Secondaires,Emelyne Lahaies,2024-12-31 20:21,COS,2699.98,16 RUE AUGUSTE HUDIER,,2026-03-25 14:14,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Zen Fraise
