id_hubspot,nom,CIP,CA 2026,client_naali,potentiel,Propriétaire de l'entreprise,Date de création,Groupement Principal,Chiffre d'affaires total,address,cp,Date de conclusion de la transaction la plus récente,catalogue
121863351485,PHARMACIE DES OLYMPIADES - 2752596 - 95190,2752596,4043.21,Oui,Prioritaires,Fatima BRAHIM,2025-03-27 12:19,ELSIE,7440.23,1 AVENUE JACQUES ANQUETIL,,2026-03-18 14:26,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Cycle; Digestion; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Ménopause; Osmose; Sachet Anti Stress; Zen Fraise
70701727947,PHARMACIE DE ROYALLIEU - 2012912 - 60200,2012912,3120.95,Oui,Prioritaires,Fatima BRAHIM,2024-12-31 20:02,PHARMABEST,8146.71,19 ESPLANADE MARGUERITE PEREY,,2026-03-30 15:28,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Cycle; Digestion; Dream; Fiole Safran 1g; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Ménopause; Sachet Anti Stress; Zen Fraise; Zen Orange; Éclat - Teint et hydratation
121863350516,PHARMACIE DES LILAS - 2286495 - 95220,2286495,2902.91,Oui,Prioritaires,Fatima BRAHIM,2025-03-27 12:19,YNOVA,5120.76,419 ROUTE DE CONFLANS,,2026-03-30 15:30,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Cycle; Digestion; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Meuble bien être mental; Ménopause; Sachet Anti Stress; Zen Fraise; Éclat - Teint et hydratation
105985726687,PHARMACIE PRINCIPALE - 2239670 - 95140,2239670,1745.44,Oui,,Fatima BRAHIM,2025-02-25 12:32,LAFAYETTE,7024.0,19 Avenue du Général de Gaulle,,2026-02-25 14:37,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Cycle; Digestion; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Meuble bien être mental; Ménopause; Sachet Anti Stress; Zen Fraise
136018164931,PHARMACIE MORIN - 2240157 - 95680,2240157,1644.93,Oui,Non Prioritaires,Fatima BRAHIM,2024-12-31 19:35,PHARMA SANTE DEVELOPPEMENT,3434.67,51 RUE DE PARIS,,2026-03-11 09:54,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Cycle; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Meuble bien être mental; Osmose; Sachet Anti Stress; Zen Fraise
121903362268,PHARMACIE NOUVELLE - 2240398 - 95300,2240398,1458.24,Oui,Non Prioritaires,Fatima BRAHIM,2025-03-27 12:19,PHARMACORP,3795.28,11 RUE DES ECURIES,,2026-02-25 15:58,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Sachet Anti Stress; Zen Fraise; Zen Orange
121859765438,PHARMACIE POTOT - 2051453 - 95158,2051453,1443.07,Oui,Prioritaires,Fatima BRAHIM,2025-03-27 12:19,ELSIE,4224.54,1 RUE THEROIGNE DE MERICOURT,,2026-03-16 09:50,Collagène Citron-Vert Menthe; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Sachet Anti Stress; Zen Fraise; Zen Orange
70703612103,PHARMACIE DE L ETOILE - 2050659 - 95000,2050659,1426.77,Oui,Prioritaires,Fatima BRAHIM,2024-12-31 20:27,PHARMABEST,3823.48,CCAL LES 3 FONTAINES,,2026-04-07 14:39,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Cycle; Digestion; Dream; Fiole Safran 1g; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Meuble bien être mental; Ménopause; Sachet Anti Stress; Zen Fraise; Zen Orange; Éclat - Teint et hydratation
121922712820,PHARMACIE DES GRANDES BORNES - 2256015 - 95190,2256015,1425.7,Oui,Non Prioritaires,Fatima BRAHIM,2025-03-27 12:19,PHR,1984.97,17 RUE ROBERT PELTIER,,2026-03-09 09:54,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Cycle; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Ménopause; Sachet Anti Stress; Zen Fraise; Zen Orange
305499649266,PHARMACIE COTE SEINE - 2260346 - 95100,2260346,1354.39,Oui,Prioritaires,Fatima BRAHIM,2025-03-27 09:20,APOTHICAL,4461.59,50 AVENUE DU MARECHAL FOCH,,2026-03-31 11:11,Collagène Citron-Vert Menthe; Dream; Gommes Anti Stress x42; Magnésium +; Sachet Anti Stress; Zen Orange
70017017069,PHARMACIE PATTE D OIE D HERBLAY - 2050795 - 95370,2050795,1339.95,Oui,Non Prioritaires,Fatima BRAHIM,2024-12-31 16:03,,12633.5,147 BOULEVARD VICTOR BORDIER,,2026-03-26 16:00,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Cycle; Digestion; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Meuble bien être mental; Ménopause; Osmose; Sachet Anti Stress; Zen Fraise; Zen Orange; Éclat - Teint et hydratation
70595541201,PHARMACIE CHAMBLY PHARMA / COHEN - 2261821 - 60230,2261821,1255.28,Oui,Prioritaires,Fatima BRAHIM,2024-12-31 20:24,ELSIE,3595.95,"CCIAL LECLERC, RUE FRANCOIS TRUFFAUT",,2026-03-12 14:35,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Cycle; Dream; Gommes Anti Stress x42; Magnésium +; Sachet Anti Stress; Zen Fraise; Zen Orange
70699957436,PHARMACIE DUBREUCQ SPIRE - 2159150 - 60740,2159150,1235.64,Oui,Prioritaires,Fatima BRAHIM,2024-12-31 20:24,ELSIE,5662.09,ROUTE DEPARTEMENTALE 1016,,2026-04-17 15:02,Collagène Citron-Vert Menthe; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Sachet Anti Stress; Zen Fraise; Zen Orange
306519391422,PHARMACIE DU MARCHÉ - 2238771 - 95250,2238771,1149.19,Oui,Prioritaires,Fatima BRAHIM,2025-02-20 14:04,PHARMA SYNERGIE,4590.46,4 AVENUE DU GENERAL DE GAULLE,,2026-04-15 10:31,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Dream; Gommes Anti Stress x42; Magnésium +; Sachet Anti Stress; Zen Fraise
121925700827,PHARMACIE DU CENTRE - 2240136 - 95370,2240136,1043.37,Oui,Secondaires,Fatima BRAHIM,2025-03-27 12:19,COS,4022.93,82 BOULEVARD VICTOR BORDIER,,2026-02-16 16:52,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Gommes Anti Stress x42; Zen Fraise; Gommes Anti Stress x60; Magnésium +; Dream
121474743528,PHARMACIE CTRE CIAL MIRABEAU - 2240885 - 95230,2240885,1026.86,Oui,Secondaires,Fatima BRAHIM,2025-03-27 12:19,LEADER SANTE,1026.86,61 AVENUE DE PARIS,,2026-04-09 09:25,Dream; Gommes Anti Stress x60; Magnésium +; Sachet Anti Stress; Zen Fraise
168689122494,PHARMACIE DU PARISIS - 2050769 - 95130,2050769,957.36,Oui,Secondaires,Fatima BRAHIM,2024-12-31 19:59,ESCALE SANTE,957.36,362 RUE DU GENERAL LECLERC,,2026-03-26 15:59,Dream; Gommes Anti Stress x60; Magnésium +; Sachet Anti Stress; Zen Fraise
71394510031,PHARMACIE DU PARVIS - 2158178 - 60100,2158178,920.39,Oui,Non Prioritaires,Fatima BRAHIM,2025-01-01 10:51,PHR,1610.62,45 B RUE DE LA REPUBLIQUE,,2026-03-18 10:18,Dream; Gommes Anti Stress x42; Magnésium +; Sachet Anti Stress; Zen Fraise; Zen Orange
70595380459,GRANDE PHARMACIE D AMIENS - 2207717 - 80000,2207717,896.45,Oui,Prioritaires,Fatima BRAHIM,2024-12-31 19:36,,3331.77,11 13 RUE JEAN CATELAS,,2026-02-02 15:49,Zen Fraise; Gommes Anti Stress x42; Zen Orange; Magnésium +; Collagène Citron-Vert Menthe
121866927339,PHARMACIE DES ECOLES - 2280535 - 95330,2280535,876.79,Oui,Secondaires,Fatima BRAHIM,2025-03-27 12:19,SIMPLY PHARMA,876.79,80 AVENUE JEAN JAURES,,2026-04-07 14:27,Dream; Gommes Anti Stress x60; Magnésium +; Zen Fraise
70595541202,PHARMACIE BENSIMHON - 2050947 - 95350,2050947,874.93,Oui,Prioritaires,Fatima BRAHIM,2024-12-31 20:24,PHARMABEST,6502.17,20 AVENUE ROBERT SCHUMAN,,2026-04-17 14:56,Collagène Citron-Vert Menthe; Gommes Anti Stress x42; Gommes Anti Stress x60; Sachet Anti Stress; Zen Fraise
121866927335,PHARMACIE DE LA GARE - 2240141 - 95370,2240141,774.97,Oui,Non Prioritaires,Fatima BRAHIM,2025-03-27 12:19,GIROPHARM,774.97,12 RESIDENCE DE LA GARE,,2026-03-16 15:47,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Dream; Gommes Anti Stress x42; Magnésium +; Sachet Anti Stress
70595371225,PHARMACIE DAMIENS - 2158859 - 60400,2158859,753.14,Oui,Secondaires,Fatima BRAHIM,2024-12-31 19:52,ELSIE,1788.48,32 RUE DE BEAUSEJOUR,,2026-04-10 10:49,Cheveux - Pousse et Force; Dream; Gommes Anti Stress x42; Ménopause; Sachet Anti Stress; Zen Fraise
121914826962,PHARMACIE DU MARCHE - 2240340 - 95130,2240340,748.78,Oui,Secondaires,Fatima BRAHIM,2025-03-27 12:19,COTE PHARMA,2228.35,2 RUE CHARLES DE GAULLE,,2026-03-16 15:50,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Sachet Anti Stress; Zen Fraise; Zen Orange
305927639276,PHARMACIE DU CENTRE - 2239885 - 95220,2239885,725.24,Oui,Secondaires,Fatima BRAHIM,2024-12-31 20:15,YNOVA,2188.94,13 RUE DU GENERAL DE GAULLE,,2026-02-17 11:38,Cheveux - Pousse et Force; Collagène Citron-Vert Menthe; Gommes Anti Stress x42; Dream; Magnésium +; Gommes Anti Stress x60; Sachet Anti Stress; Zen Fraise
70697984231,PHARMACIE COINTE - 2006419 - 80330,2006419,725.24,Oui,Secondaires,Fatima BRAHIM,2024-12-31 19:35,GIPHAR,725.24,163 AVENUE HENRI BARBUSSE,,2026-03-17 10:54,Dream; Gommes Anti Stress x60; Magnésium +; Sachet Anti Stress; Zen Fraise
70699906289,PHARMACIE ZELMATI - 2240513 - 95210,2240513,688.27,Oui,Secondaires,Fatima BRAHIM,2024-12-31 19:57,IPHARM,1267.45,72 RUE BERTHIE ALBRECHT,,2026-02-17 12:07,Gommes Anti Stress x42; Gommes Anti Stress x60; Zen Fraise; Sachet Anti Stress; Magnésium +; Dream
168689122516,PHARMACIE DURAND - 2241082 - 95110,2241082,688.26,Oui,Prioritaires,Fatima BRAHIM,2024-12-31 20:12,PHARMAVIE,688.26,1 RUE DE LA HORIONNE,,2026-02-25 15:12,Cycle; Dream; Gommes Anti Stress x60; Sachet Anti Stress; Zen Fraise
70703609073,PHARMACIE DU LYS - 2158508 - 60260,2158508,677.19,Oui,Secondaires,Fatima BRAHIM,2024-12-31 20:23,GIROPHARM,1680.7,176 AVENUE CHARLES DE GAULLE,,2026-03-17 15:59,Dream; Gommes Anti Stress x42; Magnésium +; Sachet Anti Stress; Zen Fraise
71443851485,PHARMACIE DE LA POSTE - 2158665 - 60110,2158665,508.37,Oui,Non Prioritaires,Fatima BRAHIM,2025-01-01 10:51,PHR,508.37,97 R DES MARTYRS DE LA RESISTANC,,2026-03-18 09:40,Dream; Gommes Anti Stress x60; Ménopause; Zen Fraise
70595496178,PHARMACIE Trosly breuil - 2159276 - 60350,2159276,487.62,Oui,Secondaires,Fatima BRAHIM,2024-12-31 20:19,PHR,487.62,7 RUE PIERRE THIANT,,2026-01-13 15:41,Gommes Anti Stress x42; Gommes Anti Stress x60; Zen Fraise
70699904200,PHARMACIE DES CAPUCINS - 2158073 - 60200,2158073,487.62,Oui,Secondaires,Fatima BRAHIM,2024-12-31 19:52,APRIUM,487.62,47 B RUE DE PARIS,,2026-01-19 11:59,Gommes Anti Stress x42; Gommes Anti Stress x60; Zen Fraise
305927631080,PHARMACIE LES MARAIS - 2241365 - 95210,2241365,452.22,Oui,Non Prioritaires,Fatima BRAHIM,2025-01-01 10:54, -,452.22,28 RUE D ERMONT,,2026-02-17 11:47,Dream; Magnésium +; Gommes Anti Stress x42; Zen Fraise
306519390395,PHARMACIE DE L ETOILE - 2007510 - 95870,2007510,412.54,Oui,Non Prioritaires,Fatima BRAHIM,2025-01-01 10:58,,3250.96,110 RUE EDOUARD VAILLANT,,2026-02-13 15:06,Gommes Anti Stress x42; Cheveux - Pousse et Force; Zen Orange; Magnésium +; Collagène Citron-Vert Menthe; Cycle; Osmose
69710021861,PHARMACIE DE VINCI - 2158120 - 60100,2158120,411.6,Oui,Non Prioritaires,Fatima BRAHIM,2024-12-31 19:34,LAFAYETTE,847.9,146 AVENUE LEONARD DE VINCI,,2026-03-18 10:23,Gommes Anti Stress x42; Gommes Anti Stress x60; Sachet Anti Stress
71445651684,PHARMACIE DE L AVRE - 2208789 - 80700,2208789,382.2,Oui,Non Prioritaires,Fatima BRAHIM,2025-01-01 10:53,PHR,1500.74,8 RUE SAINT PIERRE,,2026-04-16 15:51,Gommes Anti Stress x42; Magnésium +; Sachet Anti Stress; Zen Fraise
170383300853,PHARMACIE MONTIGNY VILLAGE - 2284702 - 95370,2284702,341.17,Oui,Non Prioritaires,Fatima BRAHIM,2024-12-31 20:32,PHARMA SANTE DEVELOPPEMENT,341.17,42 RUE DU GENERAL DE GAULLE,,2026-03-24 11:39,Dream; Gommes Anti Stress x60; Magnésium +
70595544291,PHARMACIE SAINTE ANNE - 2249584 - 80000,2249584,341.17,Oui,Non Prioritaires,Fatima BRAHIM,2024-12-31 20:29,GIPHAR,801.32,49 51 RUE JULES BARNI,,2026-03-04 15:42,Dream; Gommes Anti Stress x42; Gommes Anti Stress x60; Magnésium +; Zen Orange
306169796817,PHARMACIE ABAZA - 2241297 - 95210,2241297,336.76,Oui,Non Prioritaires,Fatima BRAHIM,2024-12-31 20:18,PHR,336.76,40 RUE SOEUR ANGELE,,2026-02-16 11:33,Gommes Anti Stress x60; Zen Fraise; Sachet Anti Stress
116472692984,GRANDE PHARMACIE DE SARCELLES - 2240780 - 95200,2240780,309.38,Oui,,Fatima BRAHIM,2025-03-18 14:41,,868.65,1 Rue Eric de St Sauveur,,2026-03-11 16:07,Digestion; Dream; Gommes Anti Stress x42; Ménopause; Osmose; Zen Fraise; Zen Orange
121922712819,PHARMACIE DU MARCHE - 2050884 - 95400,2050884,308.91,Oui,Non Prioritaires,Fatima BRAHIM,2025-03-27 12:19,PHARMA SANTE DEVELOPPEMENT,1979.59,24 RUE DU GENERAL ARCHINARD,,2026-03-19 15:29,Collagène Citron-Vert Menthe; Dream; Gommes Anti Stress x42; Magnésium +; Sachet Anti Stress; Zen Orange
170383302864,PHARMACIE PRINCIPALE DE BEZONS - 2014053 - 95870,2014053,305.68,Oui,Secondaires,Fatima BRAHIM,2024-12-31 16:03, -,3612.45,15 MAIL MARTIN LUTHER KING,,2026-03-10 10:12,Gommes Anti Stress x42; Zen Fraise; Zen Orange
