id_hubspot,nom,CIP,CA 2026,client_naali,potentiel,Propriétaire de l'entreprise,Date de création,Groupement Principal,Chiffre d'affaires total,address,cp,Date de conclusion de la transaction la plus récente
70593539313,GRANDE PHARMACIE DE FRANCE - 2282422 - 59000,2282422,3262.49,Oui,Prioritaires,Icham Benaissa,2024-12-31 19:36,,9013.04,12 RUE FAIDHERBE,,2026-04-30 18:32
69710063819,PHARMACIE SAINT JACQUES - 2257160 - 59223,2257160,2911.43,Oui,Prioritaires,Icham Benaissa,2024-12-31 20:25,ELSIE,3411.4,243 BOULEVARD D HALLUIN,,2026-04-30 18:39
70595386612,PHARMACIE LAFAYETTE DE ROUBAIX - 2266898 - 59100,2266898,2849.96,Oui,Prioritaires,Icham Benaissa,2024-12-31 19:44,LAFAYETTE,5558.04,127 RUE DE L ALMA,,2026-04-30 18:30
70703596755,PHARMACIE DE LA FONTAINE - 2156385 - 59300,2156385,2682.1,Oui,Prioritaires,Icham Benaissa,2024-12-31 20:09,MEDIPRIX,6132.26,10 12 RUE DE PARIS,,2026-02-17 15:15
70699957493,GRANDE PHARMACIE DE VALENCIENNES - 2156500 - 59300,2156500,2600.82,Oui,Prioritaires,Icham Benaissa,2024-12-31 20:25,PHARMABEST,9245.5,6 8 PLACE DU MARCHE AUX HERBES,,2026-02-25 11:12
70595388622,PHARMACIE LEGRAND - 2005806 - 59760,2005806,2538.73,Oui,Prioritaires,Icham Benaissa,2024-12-31 19:46,MAGDALEON,6117.28,2 RUE DE PROVENCE,,2026-04-30 18:35
70703597810,PHARMACIE BERLEMONT - 2005240 - 59290,2005240,2367.6,Oui,Secondaires,Icham Benaissa,2024-12-31 20:11,GIROPHARM,7115.79,16 RUE DU MARECHAL LECLERC,,2026-02-25 11:27
70698072294,PHARMACIE DU BIZET - 2027279 - 59650,2027279,2219.87,Oui,Prioritaires,Icham Benaissa,2024-12-31 19:39,LAFAYETTE,5635.26,49 BOULEVARD BIZET,,2026-04-30 18:34
70593566937,PHARMACIE FLANDRES LITTORAL - 2157090 - 59760,2157090,2146.4,Oui,Prioritaires,Icham Benaissa,2024-12-31 19:36,,2515.42,CENTRE COMMERCIAL AUCHAN,,2026-01-16 09:38
70587676881,PHARMACIE DU PONT NOIR - 2027698 - 59460,2027698,1871.13,Oui,Prioritaires,Icham Benaissa,2024-12-31 18:33,GIROPHARM,3369.9,2 RUE D ERQUELINNES,,2026-04-30 18:37
70698050763,PHARMACIE DU PONT DE NEUVILLE - 2156254 - 59200,2156254,1818.64,Oui,Secondaires,Icham Benaissa,2024-12-31 19:51,EVOLUPHARM,1818.64,613 615 RUE DE GAND,,2026-02-16 16:11
70699897033,PHARMACIE POIRET - 2162210 - 62260,2162210,1775.03,Oui,Non Prioritaires,Icham Benaissa,2024-12-31 19:41,LEADER SANTE,4103.81,4 PLACE JEAN CHARLES FRUCHART,,2026-02-25 12:00
70756545723,GRANDE PHARMACIE DE LA REPUBLIQUE- 2154016 - 59370,2154016,1664.89,Oui,Non Prioritaires,Icham Benaissa,2025-01-01 10:51,SOPROPHAR,2450.33,1 PLACE DE LA REPUBLIQUE,,2026-02-25 11:35
70698035391,PHARMACIE DU VIEIL ABREUVOIR - 2014068 - 59100,2014068,1575.7,Oui,Secondaires,Icham Benaissa,2024-12-31 19:34,,2293.82,18 PLACE DE LA LIBERTE,,2026-04-27 12:17
69709883617,PHARMACIE DE BONSECOURS - 2149907 - 59163,2149907,1208.76,Oui,Secondaires,Icham Benaissa,2024-12-31 18:33,PHARMAVANCE,2897.81,36 ROUTE DE BONSECOURS,,2026-02-17 15:10
70698066109,PHARMACIE DE L OLIVIER - 2006665 - 59600,2006665,1050.18,Oui,Non Prioritaires,Icham Benaissa,2024-12-31 19:34,PHARMA'GEN,5068.78,190 RUE D HAUTMONT,,2026-04-27 12:22
67656638696,PHARMACIE DE LA PLACE - 2027991 - 59410,2027991,1048.05,Oui,Secondaires,Icham Benaissa,2024-12-31 18:33,PHARMAVANCE,5043.54,175 AVENUE ANATOLE FRANCE,,2026-02-17 14:47
71354945773,PHARMACIE DE LA TOUR - 2007084 - 59230,2007084,958.75,Oui,Secondaires,Icham Benaissa,2025-01-01 10:58,,4536.26,660 CHEMIN DE L EMPIRE,,2026-02-17 14:31
70699903168,PHARMACIE DES TERRILS - 2163303 - 62800,2163303,952.23,Oui,Prioritaires,Icham Benaissa,2024-12-31 19:50,LAFAYETTE,2225.68,135 T RUE JULES GUESDE,,2026-01-22 16:53
70701761725,PHARMACIE DU CENTRE - 2027677 - 59140,2027677,936.74,Oui,Non Prioritaires,Icham Benaissa,2024-12-31 19:51,APRIUM,1860.66,10 BOULEVARD ALEXANDRE III,,2026-02-13 11:34
69710027992,GRANDE PHARMACIE DE WAZEMMES - 2013406 - 59000,2013406,924.84,Oui,Prioritaires,Icham Benaissa,2024-12-31 19:38,PHARMABEST,4572.1,344 352 RUE LEON GAMBETTA,,2026-02-10 18:12
70595513590,PHARMACIE AFKIR - 2156212 - 59200,2156212,891.61,Oui,Non Prioritaires,Icham Benaissa,2024-12-31 20:11,EVOLUPHARM,1149.58,59 RUE DE LA CROIX ROUGE,,2026-02-17 12:04
70701736142,PHARMACIE D HASPRES - 2027352 - 59198,2027352,845.02,Oui,Non Prioritaires,Icham Benaissa,2024-12-31 20:10,GIPHAR,1757.85,3 PLACE GABRIEL PERI,,2026-02-17 14:37
70699897022,PHARMACIE CATTEAU - 2156060 - 59200,2156060,839.82,Oui,Secondaires,Icham Benaissa,2024-12-31 19:41,PHARMACTIV,839.82,2 GRAND PLACE,,2026-03-18 12:19
70595460332,PHARMACIE DU BOURG - 2265852 - 59130,2265852,766.27,Oui,Prioritaires,Icham Benaissa,2024-12-31 20:16,CALIPHARMA,1016.26,389 AVENUE DE L HIPPODROME,,2026-03-18 12:25
70595381461,PHARMACIE LECERF - 2162336 - 62000,2162336,685.3,Oui,Prioritaires,Icham Benaissa,2024-12-31 19:36,ELSIE,4203.52,AVENUE JEAN MERMOZ,,2026-01-19 16:52
70671113437,PHARMACIE DES OLIVEAUX - 2153358 - 59120,2153358,670.56,Oui,Non Prioritaires,Icham Benaissa,2024-12-31 16:03,PHARMA SYNERGIE,4366.33,CENTRE COMMERCIAL LES OLIVEAUX,,2026-02-17 12:51
70587696331,PHARMACIE REBIAI - 2153164 - 59800,2153164,626.53,Oui,Non Prioritaires,Icham Benaissa,2024-12-31 18:33,,3857.41,90 RUE PIERRE LEGRAND,,2026-03-25 15:13
71354945745,LA PHARMACIE DU BOURG - 2027368 - 59930,2027368,569.44,Oui,Secondaires,Icham Benaissa,2025-01-01 10:57,SOPROPHAR,4436.86,6 RUE VICTOR VIGNERON,,2026-02-03 09:36
71443853511,PHARMACIE CHEVAL - 2148531 - 59151,2148531,499.97,Oui,Secondaires,Icham Benaissa,2025-01-01 10:57,ELFIMAJE,499.97,14 RUE GEORGES LEFEBVRE,,2026-01-13 16:38
70699919557,PHARMACIE LACINA - 2162886 - 62110,2162886,444.28,Oui,Non Prioritaires,Icham Benaissa,2024-12-31 20:11,EVOLUPHARM,3199.45,1143 RUE PIERRE BROSSOLETTE,,2026-02-16 16:16
70698050764,PHARMACIE NOTRE DAME - 2151806 - 59190,2151806,442.1,Oui,Secondaires,Icham Benaissa,2024-12-31 19:51,LEADER SANTE,2361.66,17 RUE NOTRE DAME,,2026-01-19 09:27
70699918559,GRANDE PHARMACIE HELLEMMOISE - 2151921 - 59260,2151921,405.26,Oui,Non Prioritaires,Icham Benaissa,2024-12-31 20:11,APRIUM,865.47,209 RUE ROGER SALENGRO,,2026-01-05 11:03
70698015984,PHARMACIE ROUSSEL - 2153468 - 59390,2153468,341.17,Oui,Non Prioritaires,Icham Benaissa,2024-12-31 19:43,APRIUM,341.17,2 RUE GUSTAVE NADAUD,,2026-03-04 16:00
70699925722,PHARMACIE DAOUDI - 2057413 - 2200,2057413,297.36,Oui,Non Prioritaires,Icham Benaissa,2024-12-31 19:43,DYNAMIS,923.92,AVENUE ROBERT SCHUMANN,,2026-02-19 15:59
70698034420,PHARMACIE LILLENIUM - 2006335 - 59000,2006335,251.16,Oui,Non Prioritaires,Icham Benaissa,2024-12-31 19:34,DPGS,2152.81,192 R GENEVIEVE DE GAULLE ANTHON,,2026-01-13 16:16
70703573203,PHARMACIE DE L HOTEL DE VILLE - 2156301 - 59200,2156301,238.06,Oui,Non Prioritaires,Icham Benaissa,2024-12-31 20:19,PHR,488.05,9 RUE DU GENERAL LECLERC,,2026-01-29 19:22
71492476109,PHARMACIE DEBROUWER - 2014832 - 62219,2014832,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:58,,,27 AVENUE CLEMENCEAU,,
71451049164,PHARMACIE CUINGNET - 2007290 - 62380,2007290,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:58,,,13 AVENUE BERNARD CHOCHOY,,
70992856297,PHARMACIE DE LA GRAND PLACE - 2014964 - 62170,2014964,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:58,,,2 PLACE DU GENERAL DE GAULLE,,
71449252067,PHARMACIE LIBERT - 2014721 - 62580,2014721,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:58,,,7 RUE DE LA REPUBLIQUE,,
70849286333,PHARMACIE DUYCK - 2007490 - 62420,2007490,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:58,,,89 AVENUE DE LA REPUBLIQUE,,
71376539860,PHARMACIE SAINT MARTIN - 2007260 - 62110,2007260,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:58,,,150 PLACE JEAN JAURES,,
71447452871,PHARMACIE DE LA PLACE GAMBETTA - 2014708 - 62220,2014708,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:58,,,69 RUE FLORENT EVRARD,,
71449252065,PHARMACIE DU BLANC RIEZ - 2007207 - 59139,2007207,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:58,,,16 RUE DU DOCTEUR SCHWEITZER,,
71038263502,PHARMACIE ZANNELLI - 2007238 - 59100,2007238,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:58,,,112 RUE VOLTAIRE,,
71414298828,PHARMACIE FAVERO - 2153447 - 59720,2153447,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:58,,,83 RUE D HAUTMONT,,
71449252064,PHARMACIE DU MARCHE - 2014952 - 59320,2014952,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:58,,,3 RUE ERNEST BLONDEAU,,
71410700479,PHARMACIE PRUVOST - 2007270 - 59153,2007270,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:58,,,12 C ALLEE DES PEUPLIERS,,
71449252063,PHARMACIE DU CROIZAT - 2014883 - 59450,2014883,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:58,,,158 RUE CROIZAT,,
71354945772,PHARMACIE DELAHAYE - 2007240 - 59287,2007240,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:58,,,35 R MARIE CLAUDE VAILLANT COUTU,,
71442054330,PHARMACIE DE L AVENUE - 2028974 - 62140,2028974,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,PHARMODEL,,4 AVENUE DE BOULOGNE,,
71447451876,PHARMACIE DES OYATS - 2164003 - 62215,2164003,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,PHARMACTIV,,113 AVENUE PAUL MACHY,,
71451048180,PHARMACIE DES PROVINCES - 2273994 - 62410,2273994,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,PHR,,147 RUE JOSEPH BODART,,
71443853510,PHARMACIE ROSE - 2163958 - 62230,2163958,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,PHARMADN,,22 RUE DU PROFESSEUR CLERC,,
70756546795,PHARMACIE CENTRALE - 2029847 - 62200,2029847,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,PHARMACTIV,,41 GRANDE RUE,,
70756546794,PHARMACIE DE CATORIVE MELLICK - 2029826 - 62400,2029826,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,DPGS,,170 RUE D AIRE,,
70940643525,PHARMACIE COUSSEMACQ - 2013971 - 62000,2013971,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,PHARMAVANCE,,225 AVENUE WINSTON CHURCHILL,,
71038262521,PHARMACIE PARENT - 2148463 - 59112,2148463,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,SOPROPHAR,,24 PLACE DU MARCHE,,
70899577054,PHARMACIE BOUDIER DELAHOUSSE - 2027813 - 59410,2027813,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,SOCOPHARMA,,122 AVENUE ANATOLE FRANCE,,
71445653701,PHARMACIE DE PONT A MARCQ - 2154498 - 59710,2154498,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,PHARMACYAL,,122 RUE NATIONALE,,
70849285353,PHARMACIE VANDERPOTTE - 2152422 - 59226,2152422,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,SOCOPHARMA,,1683 ROUTE DE ROUBAIX,,
70992856277,PHARMACIE DU PEVELE - 2149624 - 59242,2149624,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,GIPHAR,,26 RUE DU GENERAL DE GAULLE,,
71408902364,PHARMACIE DES DEUX TOURS - 2004818 - 59370,2004818,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,GIPHAR,,12 AVENUE ROBERT SCHUMAN,,
71038262520,PHARMACIE BOUGMAYER - 2148746 - 59300,2148746,,Oui,Secondaires,Icham Benaissa,2025-01-01 10:57,LEADER SANTE,2308.08,AVENUE HENRI MATISSE,,2025-09-29 10:05
71442053369,PHARMACIE QUAREZ - 2002042 - 59144,2002042,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,SOCOPHARMA,,2 ROUTE NATIONALE,,
71412498678,PHARMACIE DE L ABBAYE - 2153777 - 59520,2153777,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,LES PHARMACIENS ASSOCIES,,89 RUE DU GENERAL LECLERC,,
71408902363,PHARMACIE DU PARC - 2001564 - 59130,2001564,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,GIPHAR,,299 RUE DU BOURG,,
70756546793,PHARMACIE FEUTRIE - 2151371 - 59253,2151371,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,GIPHAR,,40 RUE DU GENERAL DE GAULLE,,
70849285352,PHARMACIE LIEFOOGHE - 2006653 - 59190,2006653,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,GIROPHARM,,75 AVENUE DU GENERAL DE GAULLE,,
71445653700,PHARMACIE PATINIER DOROTHEE - 2013702 - 62120,2013702,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,EVOLUPHARM,,62 ROUTE DEPARTEMENTALE 943,,
70849285351,PHARMACIE DE LA THURE - 2150032 - 59149,2150032,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,WELL&WELL,,142 PLACE CHARLES DE GAULLE,,
71265701052,PHARMACIE DE LA POSTE - 2153190 - 59126,2153190,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,SOPROPHAR,,PLACE DE LA VICTOIRE,,
71414297840,PHARMACIE SAINT PIERRE - 2155863 - 59114,2155863,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,ELFIMAJE,,31 PLACE SAINT PIERRE,,
71442053367,PHARMACIE DE LA REPUBLIQUE - 2148552 - 59280,2148552,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,CALIPHARMA,,1 PLACE DE LA REPUBLIQUE,,
71443853509,PHARMACIE DES 4 SAISONS - 2002994 - 59280,2002994,,Non,Secondaires,Icham Benaissa,2025-01-01 10:57,SOPROPHAR,,6 RUE DES RESISTANTS,,
71414297824,PHARMACIE DU CENTRE - 2151261 - 59970,2151261,,Non,Secondaires,Icham Benaissa,2025-01-01 10:56,GIPHAR,,17 RUE JEAN JAURES,,
70849285332,PHARMACIE DU BEFFROI - 2247875 - 59270,2247875,,Non,Secondaires,Icham Benaissa,2025-01-01 10:56,ELFIMAJE,,10 RUE DU MUSEE,,
71354945724,PHARMACIE ILE DE FRANCE - 2268078 - 2000,2268078,,Non,Secondaires,Icham Benaissa,2025-01-01 10:56,LEADER SANTE,,400 AVENUE GEORGES POMPIDOU,,
70940642536,PHARMACIE DEGRAVE - 2006896 - 62930,2006896,,Non,Secondaires,Icham Benaissa,2025-01-01 10:56,PHARMODEL,,84 AVENUE FRANCOIS MITTERAND,,
71414297816,PHARMACIE DE LA PLACE - 2162975 - 62140,2162975,,Non,Secondaires,Icham Benaissa,2025-01-01 10:56,PHARMACTIV,,9 PLACE D ARMES,,
70992856258,PHARMACIE DE CHAUNY - 2056430 - 2300,2056430,,Non,Secondaires,Icham Benaissa,2025-01-01 10:56,PHR,,37 BOULEVARD D ANDENNE,,
71447451854,PHARMACIE BATAILLE - 2275352 - 59113,2275352,,Non,Secondaires,Icham Benaissa,2025-01-01 10:56,PHR,,AVENUE DE LA REPUBLIQUE,,
71443852523,PHARMACIE DE L OSON - 2152024 - 59199,2152024,,Non,Secondaires,Icham Benaissa,2025-01-01 10:56,GIROPHARM,,35 RUE PIERRE DELCOURT,,
71408902345,PHARMACIE CHANZY - 2151900 - 59260,2151900,,Non,Secondaires,Icham Benaissa,2025-01-01 10:56,GIROPHARM,,160 RUE CHANZY,,
70899577034,PHARMACIE DE L'OSTREVENT - 2154084 - 59182,2154084,,Non,Secondaires,Icham Benaissa,2025-01-01 10:56,GIROPHARM,,335 AVENUE RAYMOND HONORE,,
70899577029,PHARMACIE CARETTE PARENT - 2155271 - 59184,2155271,,Non,Prioritaires,Icham Benaissa,2025-01-01 10:55,SOPROPHAR,,1 RUE JULES GUESDE,,
71408902339,PHARMACIE DANTOING - 2013199 - 59830,2013199,,Non,Prioritaires,Icham Benaissa,2025-01-01 10:55,CALIPHARMA,,35 RUE DE LA CHANTERAINE,,
70794983626,PHARMACIE DE LA COLLEGIALE - 2148840 - 59440,2148840,,Non,Prioritaires,Icham Benaissa,2025-01-01 10:55,EVOLUPHARM,,35 PLACE DU GENERAL LECLERC,,
71414297807,PHARMACIE DE LA FRONTIERE - 2150053 - 59154,2150053,,Non,Prioritaires,Icham Benaissa,2025-01-01 10:55,CALIPHARMA,,6 RUE DES DEPORTES,,
70756546770,PHARMACIE DU MANOIR - 2151570 - 59250,2151570,,Non,Prioritaires,Icham Benaissa,2025-01-01 10:55,GIROPHARM,,2 ALLEE DES GLAIEULS,,
70940642491,PHARMACIE LENNE - 2164019 - 62760,2164019,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:53,PHARMODEL,,18 RUE BASSE BOULOGNE,,
71394510046,PHARMACIE ROCHE - 2264670 - 62116,2264670,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:51,PHR,,62 RUE DIERVILLE,,
71354943733,PHARMACIE BRANDICOURT - 2162446 - 62860,2162446,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:51,DPGS,,5 RUE DU FAUBOURG,,
71412497627,PHARMACIE VERMESCH - 2161442 - 62118,2161442,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:51,GIPHAR,,40 RUE EDOUARD HERRIOT,,
71376537824,PHARMACIE LATOUR MASQUELIN - 2161437 - 62118,2161437,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:51,LES PHARMACIENS ASSOCIES,,30 RUE GEORGES CLEMENCEAU,,
71442052309,PHARMACIE PRINCIPALE DOSSET - 2161201 - 62450,2161201,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:51,LEADER SANTE,,29 RUE DE PERONNE,,
71443851501,PHARMACIE ABRAHAM - 2164658 - 62156,2164658,,Non,Non Prioritaires,Icham Benaissa,2025-01-01 10:51,ELFIMAJE,,39 RUE ANDRE MERCIER,,
